Périmètre;Titre;Genre / famille;Joueurs max;Type multijoueur;Déroulement;Affichage;Drop-in;Multitap;Année;Région;Développeur;Éditeur;Validation;Confiance;Remarques;Source FE-Metadata;Source OpenVGDB / référence
Base principale (275);AWS Pro Moves Soccer;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;;USA;;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Base principale (275);Australian Rugby League;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1995;Europe;EA Sports;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/581771-australian-rugby-league
Base principale (275);Brian Lara Cricket;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1995;Europe;Audiogenic Ltd.;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586076-brian-lara-cricket
Base principale (275);Brian Lara Cricket '96;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1996;Europe;Audiogenic Ltd.;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/917160-shane-warne-cricket
Base principale (275);Champions World Class Soccer;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1993;World;Park Place Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586097-champions-world-class-soccer
Base principale (275);Dino Dini's Soccer;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;Europe;Dini and Dini Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/939876-dino-dinis-soccer
Base principale (275);European Club Soccer;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1992;Europe;Krisalis Software;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586615-world-trophy-soccer
Complément (107);FIFA 97;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1996;Europe;;;Candidat complémentaire – à vérifier;À vérifier;Métadonnées bibliographiques complétées manuellement ou non disponibles;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Base principale (275);FIFA 98: Road to World Cup;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;;Europe;;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Base principale (275);FIFA International Soccer;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1993;USA, Europe;Extended Play Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586182-fifa-international-soccer
Base principale (275);FIFA Soccer 95;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;USA, Europe;Extended Play Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/366919-fifa-soccer-95
Base principale (275);FIFA Soccer 96;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1995;USA, Europe;Extended Play Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586183-fifa-soccer-96
Base principale (275);Fever Pitch Soccer;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1995;Europe;U.S. Gold;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586231-head-on-soccer
Base principale (275);International Rugby;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1993;Europe;Tiertex Design Studios;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/933785-international-rugby
Base principale (275);International Superstar Soccer Deluxe;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1996;Europe;Factor 5;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/918689-international-superstar-soccer-deluxe
Base principale (275);J.League Champion Soccer;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1992;Japan;Krisalis Software;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586615-world-trophy-soccer
Base principale (275);J.League Pro Striker;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;Jun ;Japan;Sega;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/570456-jleague-pro-striker
Base principale (275);J.League Pro Striker 2;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;Jul ;Japan;Sega;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/570464-jleague-pro-striker-2
Base principale (275);J.League Pro Striker: Final Stage;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;;Japan;;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Complément (107);John Barnes European Football;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1992;Europe;;;Candidat complémentaire – à vérifier;À vérifier;Métadonnées bibliographiques complétées manuellement ou non disponibles;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Base principale (275);Kick Off 3: European Challenge;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;Europe;Anco Software;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/929624-kick-off-3-european-challenge
Complément (107);Manchester United Championship Soccer;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1995;Europe;;;Candidat complémentaire – à vérifier;À vérifier;Métadonnées bibliographiques complétées manuellement ou non disponibles;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Complément (107);Manchester United Europe;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1991;Europe;;;Candidat complémentaire – à vérifier;À vérifier;Métadonnées bibliographiques complétées manuellement ou non disponibles;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Complément (107);Manchester United Premier League Champions;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;Europe;;;Candidat complémentaire – à vérifier;À vérifier;Métadonnées bibliographiques complétées manuellement ou non disponibles;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Complément (107);Olympic Soccer;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1996;USA, Europe;;;Candidat complémentaire – à vérifier;À vérifier;Métadonnées bibliographiques complétées manuellement ou non disponibles;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Base principale (275);Pelé II: World Tournament Soccer;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;USA, Europe;Radical Entertainment;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586375-pele-ii-world-tournament-soccer
Base principale (275);Pelé!;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1993;USA, Europe;Accolade;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586374-pele
Base principale (275);Rugby World Cup 95;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;USA, Europe;EA Sports;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586438-rugby-world-cup-95
Base principale (275);Sensible Soccer;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;;Europe;;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Base principale (275);Sensible Soccer: International Edition;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;;Europe;;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;https://github.com/OpenVGDB/OpenVGDB
Complément (107);Shane Warne Cricket;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1996;Australia;Audiogenic Ltd.;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/917160-shane-warne-cricket
Complément (107);Striker;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;Europe;Rage Software;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/929001-striker
Complément (107);Super Kick Off;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1992;Europe;Tiertex Design Studios;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/933967-super-kick-off
Complément (107);World Championship Soccer;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1990;Japan, USA;Sega;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586608-world-championship-soccer
Complément (107);World Championship Soccer II;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;Aug ;USA;Sega;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586609-world-championship-soccer-ii
Complément (107);World Cup USA 94;Football / rugby / cricket;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;USA, Europe;Tiertex Design Studios;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/916011-world-cup-usa-94
Base principale (275);Bill Walsh College Football;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1993;USA, Europe;High Score Productions;;Confirmé par description OpenVGDB;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586062-bill-walsh-college-football
Base principale (275);Bill Walsh College Football '95;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;USA;High Score Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586063-bill-walsh-college-football-95
Base principale (275);College Football USA 96;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1995;USA;High Score Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/915984-college-football-usa-96
Base principale (275);College Football USA 97;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1996;USA;EA Tiburon;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/915985-college-football-usa-97
Base principale (275);College Football's National Championship;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;USA;Blue Sky Software;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/919584-college-footballs-national-championship
Base principale (275);College Football's National Championship II;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1995;USA;Blue Sky Software;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/919578-college-footballs-national-championship-ii
Base principale (275);Joe Montana Football;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1990;World;Park Place Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/915993-joe-montana-football
Base principale (275);Joe Montana II: Sports Talk Football;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1991;World;Blue Sky Software;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586260-joe-montana-ii-sports-talk-football
Base principale (275);John Madden Football;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1990;USA, Europe;Park Place Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586263-john-madden-football
Base principale (275);John Madden Football '92;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1991;USA, Europe;Park Place Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/366816-john-madden-football-92
Base principale (275);John Madden Football '93;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1992;USA, Europe;Looking Glass Studios;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/366818-john-madden-football-93
Base principale (275);John Madden Football '94;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1992;USA, Europe;Looking Glass Studios;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/366818-john-madden-football-93
Base principale (275);John Madden Football '95;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1992;USA, Europe;Looking Glass Studios;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/366818-john-madden-football-93
Base principale (275);Madden NFL 96;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1995;USA, Europe;High Score Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/366825-madden-nfl-96
Base principale (275);Madden NFL 97;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1997;USA, Europe;High Score Productions;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/366826-madden-nfl-97
Base principale (275);Madden NFL 98;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1997;USA;Tiertex Design Studios;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/564186-madden-nfl-98
Base principale (275);Mike Ditka Power Football;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1991;USA, Europe;Accolade;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586326-mike-ditka-power-football
Base principale (275);NFL '95;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;USA, Europe;Double Diamond Sports;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586343-nfl-95
Base principale (275);NFL Football '94 Starring Joe Montana;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1993;USA;Blue Sky Software;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586262-nfl-football-94-starring-joe-montana
Complément (107);NFL Quarterback Club;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;World;Iguana Entertainment;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/366880-nfl-quarterback-club
Complément (107);NFL Quarterback Club 96;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1996;USA, Europe;Iguana Entertainment;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586344-nfl-quarterback-club-96
Complément (107);NFL Quarterback Club 97;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1996;USA, Europe;Iguana Entertainment;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586344-nfl-quarterback-club-96
Complément (107);Prime Time NFL Starring Deion Sanders;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1995;USA;Farsight Technologies;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/916001-prime-time-nfl-starring-deion-sanders
Complément (107);Pro Quarterback;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1992;USA;Tradewest;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586399-pro-quarterback
Complément (107);Tecmo Super Bowl;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;Jan1;USA;Tecmo;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586525-tecmo-super-bowl
Complément (107);Tecmo Super Bowl II: Special Edition;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;Jan1;USA;Tecmo;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586526-tecmo-super-bowl-ii-special-edition
Base principale (275);Tecmo Super Bowl III: Final Edition;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;Aug4;USA;Tecmo;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586527-tecmo-super-bowl-iii-final-edition
Complément (107);Troy Aikman NFL Football;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;USA;Williams;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586565-troy-aikman-nfl-football
Complément (107);Unnecessary Roughness '95;Football américain;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;Aug ;USA;Accolade;;Candidat complémentaire – à vérifier;À vérifier;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586574-unnecessary-roughness-95
Base principale (275);ATP Tour Championship Tennis;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1994;USA;Sims;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586037-atp-tour-championship-tennis
Base principale (275);American Gladiators;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;Mar ;USA;Imagitec Design, Inc.;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586024-american-gladiators
Base principale (275);Andre Agassi Tennis;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1992;Europe;TecMagik;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/563311-andre-agassi-tennis
Base principale (275);Arnold Palmer Tournament Golf;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1989;USA, Europe;Sega;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586031-arnold-palmer-tournament-golf
Base principale (275);Ball Jacks;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1993;Japan, Europe;Namco;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/570455-ball-jacks
Base principale (275);Boxing Legends of the Ring;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1993;USA;Sculptured Software;;Confirmé FE-Metadata;Élevée;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586072-boxing-legends-of-the-ring
Base principale (275);California Games;Golf / tennis / autres sports;2;Compétitif / équipes;Simultané ou alterné selon discipline;Même écran;Non documenté;Non documenté;1991;USA, Europe;Novotrade;;Noyau consolidé (catalogues + genre);Moyenne;;https://raw.githubusercontent.com/dd900/FE-Metadata/refs/heads/main/genesis/metadata.pegasus.txt;http://www.gamefaqs.com/genesis/586091-california-games
